50,0.000008,0.631402
80,0.000014,0.631402
128,0.000022,0.631402
204,0.000035,0.631402
326,0.000055,0.631403
521,0.000089,0.631404
833,0.000142,0.631406
1332,0.000226,0.631408
2131,0.000362,0.631413
3409,0.000579,0.631419
5454,0.000927,0.631430
8726,0.001483,0.631448
13961,0.002373,0.631475
22337,0.003797,0.631520
35739,0.006075,0.631591
57182,0.009719,0.631705
91491,0.015551,0.631887
146385,0.024881,0.632178
234216,0.039809,0.632645
374745,0.063687,0.633391
599592,0.101752,0.634585
959347,0.162655,0.636494
1534955,0.260101,0.639550
2455928,0.361731,0.644440
3929484,0.405949,0.652263
6287174,0.435814,0.664780
10059478,0.463155,0.684806
16095164,0.475978,0.714775
25752262,0.495692,0.750093
